id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti15.csv,2020/06/13 05:36:32,fuzzy-cmeans,random,3,1.5,biggest-diff,0.10235905647277832,121.4487407207489,48
TEST01,data/affitti15.csv,2020/06/13 05:37:04,fuzzy-cmeans,random,3,3,biggest-diff,0.10235905647277832,32.88654589653015,13
TEST01,data/affitti15.csv,2020/06/13 05:38:00,fuzzy-cmeans,random,3,2,biggest-diff,0.10235905647277832,55.318464517593384,22
TEST01,data/affitti15.csv,2020/06/13 05:39:43,kmeans,random,4,-,biggest-diff,0.11321711540222168,103.01952123641968,34
TEST01,data/affitti15.csv,2020/06/13 05:41:49,fuzzy-cmeans,random,4,1.5,biggest-diff,0.11321711540222168,125.60278964042664,46
TEST01,data/affitti15.csv,2020/06/13 05:42:27,fuzzy-cmeans,random,4,3,biggest-diff,0.11321711540222168,38.34219002723694,14
TEST01,data/affitti15.csv,2020/06/13 05:43:35,fuzzy-cmeans,random,4,2,biggest-diff,0.11321711540222168,67.67142510414124,25
TEST01,data/affitti15.csv,2020/06/13 05:46:08,kmeans,random,5,-,biggest-diff,0.08483648300170898,153.2812008857727,50*
TEST01,data/affitti15.csv,2020/06/13 05:48:32,fuzzy-cmeans,random,5,1.5,biggest-diff,0.08483648300170898,143.85421586036682,50*
TEST01,data/affitti15.csv,2020/06/13 05:49:27,fuzzy-cmeans,random,5,3,biggest-diff,0.08483648300170898,54.87211585044861,19
TEST01,data/affitti15.csv,2020/06/13 05:51:22,fuzzy-cmeans,random,5,2,biggest-diff,0.08483648300170898,115.13444566726685,40
